epoch,step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,2.0316524505615234,,
0,49,,,0.3199999928474426,1.9730050563812256
0,49,2.7466042041778564,,,
1,99,,1.3498934507369995,,
1,99,,,0.41999998688697815,1.8375091552734375
1,99,1.6689997911453247,,,
2,149,,1.2746347188949585,,
2,149,,,0.36500000953674316,1.8901121616363525
2,149,1.449347972869873,,,
3,199,,1.168033480644226,,
3,199,,,0.5099999904632568,1.2803566455841064
3,199,1.1513429880142212,,,
4,249,,0.9634841680526733,,
4,249,,,0.5699999928474426,1.242634892463684
4,249,0.9368370771408081,,,
5,299,,1.0649933815002441,,
5,299,,,0.5899999737739563,1.3583135604858398
5,299,0.831188976764679,,,
6,349,,0.5895314812660217,,
6,349,,,0.5400000214576721,1.3871634006500244
6,349,0.6801025867462158,,,
7,399,,0.6377542614936829,,
7,399,,,0.5249999761581421,1.559819221496582
7,399,0.4849839508533478,,,
8,449,,0.21583183109760284,,
8,449,,,0.5950000286102295,1.368844747543335
8,449,0.4314914643764496,,,
9,499,,0.1397637128829956,,
9,499,,,0.6100000143051147,1.5067682266235352
9,499,0.21504613757133484,,,
10,500,,,0.6100000143051147,1.5067682266235352
